id,name,formed,area_km2,classification,member_name,member_party
aston,Aston,1984,124,Outer-metropolitan,Mary Doyle,Labor
ballarat,Ballarat,1901,5323,Provincial,Catherine King,Labor
bendigo,Bendigo,1901,6178,Provincial,Lisa Chesters,Labor
bruce,Bruce,1955,142,Outer-metropolitan,Julian Hill,Labor
calwell,Calwell,1984,191,Outer-metropolitan,Basem Abdo,Labor
casey,Casey,1969,2624,Rural,Aaron Violi,Liberal
chisholm,Chisholm,1949,73,Inner-metropolitan,Carina Garland,Labor
cooper,Cooper,2019,61,Inner-metropolitan,Ged Kearney,Labor
corangamite,Corangamite,1901,640,Provincial,Libby Coker,Labor
corio,Corio,1901,1216,Provincial,Richard Marles,Labor
deakin,Deakin,1937,98,Outer-metropolitan,Matt Gregg,Labor
dunkley,Dunkley,1984,148,Outer-metropolitan,Jodie Belyea,Labor
flinders,Flinders,1901,887,Rural,Zoe McKenzie,Liberal
fraser,Fraser,2019,98,Inner-metropolitan,Daniel Mulino,Labor
gellibrand,Gellibrand,1949,144,Inner-metropolitan,Tim Watts,Labor
gippsland,Gippsland,1901,33131,Rural,Darren Chester,Nationals
goldstein,Goldstein,1984,56,Inner-metropolitan,Tim Wilson,Liberal
gorton,Gorton,2004,207,Outer-metropolitan,Alice Jordan-Baird,Labor
hawke,Hawke,2022,1986,Provincial,Sam Rae,Labor
holt,Holt,1969,252,Outer-metropolitan,Cassandra Fernando,Labor
hotham,Hotham,1969,81,Inner-metropolitan,Clare O'Neil,Labor
indi,Indi,1901,29188,Rural,Helen Haines,Independent
isaacs,Isaacs,1969,158,Outer-metropolitan,Mark Dreyfus,Labor
jagajaga,Jagajaga,1984,137,Outer-metropolitan,Kate Thwaites,Labor
kooyong,Kooyong,1901,59,Inner-metropolitan,Monique Ryan,Independent
latrobe,La Trobe,1949,1303,Provincial,Jason Wood,Liberal
lalor,Lalor,1949,180,Outer-metropolitan,Joanne Ryan,Labor
macnamara,Macnamara,2019,38,Inner-metropolitan,Josh Burns,Labor
mallee,Mallee,1949,83412,Rural,Anne Webster,Nationals
maribyrnong,Maribyrnong,1906,70,Inner-metropolitan,Jo Briskey,Labor
mcewen,McEwen,1984,2288,Rural,Rob Mitchell,Labor
melbourne,Melbourne,1901,39,Inner-metropolitan,Sarah Witty,Labor
menzies,Menzies,1984,102,Outer-metropolitan,Gabriel Ng,Labor
monash,Monash,2019,8255,Rural,Mary Aldred,Liberal
nicholls,Nicholls,2019,14116,Rural,Sam Birrell,Nationals
scullin,Scullin,1968,174,Outer-metropolitan,Andrew Giles,Labor
wannon,Wannon,1901,34270,Rural,Dan Tehan,Liberal
wills,Wills,1949,47,Inner-metropolitan,Peter Khalil,Labor
