division_id,metric_key,metric_value,metric_value_text,unit,source,year
aston,population,159103,,persons,ABS 2021 Census QuickStats,2021
aston,median_age,40,,years,ABS 2021 Census QuickStats,2021
aston,median_personal_income_weekly,797,,AUD/week,ABS 2021 Census QuickStats,2021
aston,median_household_income_weekly,1884,,AUD/week,ABS 2021 Census QuickStats,2021
aston,median_rent_weekly,400,,AUD/week,ABS 2021 Census QuickStats,2021
aston,median_mortgage_monthly,2000,,AUD/month,ABS 2021 Census QuickStats,2021
aston,avg_household_size,2.7,,persons/household,ABS 2021 Census QuickStats,2021
ballarat,population,152243,,persons,ABS 2021 Census QuickStats,2021
ballarat,median_age,41,,years,ABS 2021 Census QuickStats,2021
ballarat,median_personal_income_weekly,734,,AUD/week,ABS 2021 Census QuickStats,2021
ballarat,median_household_income_weekly,1445,,AUD/week,ABS 2021 Census QuickStats,2021
ballarat,median_rent_weekly,295,,AUD/week,ABS 2021 Census QuickStats,2021
ballarat,median_mortgage_monthly,1500,,AUD/month,ABS 2021 Census QuickStats,2021
ballarat,avg_household_size,2.4,,persons/household,ABS 2021 Census QuickStats,2021
bendigo,population,152555,,persons,ABS 2021 Census QuickStats,2021
bendigo,median_age,42,,years,ABS 2021 Census QuickStats,2021
bendigo,median_personal_income_weekly,732,,AUD/week,ABS 2021 Census QuickStats,2021
bendigo,median_household_income_weekly,1433,,AUD/week,ABS 2021 Census QuickStats,2021
bendigo,median_rent_weekly,300,,AUD/week,ABS 2021 Census QuickStats,2021
bendigo,median_mortgage_monthly,1452,,AUD/month,ABS 2021 Census QuickStats,2021
bendigo,avg_household_size,2.4,,persons/household,ABS 2021 Census QuickStats,2021
bruce,population,179139,,persons,ABS 2021 Census QuickStats,2021
bruce,median_age,37,,years,ABS 2021 Census QuickStats,2021
bruce,median_personal_income_weekly,691,,AUD/week,ABS 2021 Census QuickStats,2021
bruce,median_household_income_weekly,1672,,AUD/week,ABS 2021 Census QuickStats,2021
bruce,median_rent_weekly,350,,AUD/week,ABS 2021 Census QuickStats,2021
bruce,median_mortgage_monthly,1800,,AUD/month,ABS 2021 Census QuickStats,2021
bruce,avg_household_size,2.9,,persons/household,ABS 2021 Census QuickStats,2021
calwell,population,188482,,persons,ABS 2021 Census QuickStats,2021
calwell,median_age,32,,years,ABS 2021 Census QuickStats,2021
calwell,median_personal_income_weekly,623,,AUD/week,ABS 2021 Census QuickStats,2021
calwell,median_household_income_weekly,1681,,AUD/week,ABS 2021 Census QuickStats,2021
calwell,median_rent_weekly,369,,AUD/week,ABS 2021 Census QuickStats,2021
calwell,median_mortgage_monthly,1834,,AUD/month,ABS 2021 Census QuickStats,2021
calwell,avg_household_size,3.2,,persons/household,ABS 2021 Census QuickStats,2021
casey,population,157444,,persons,ABS 2021 Census QuickStats,2021
casey,median_age,40,,years,ABS 2021 Census QuickStats,2021
casey,median_personal_income_weekly,809,,AUD/week,ABS 2021 Census QuickStats,2021
casey,median_household_income_weekly,1884,,AUD/week,ABS 2021 Census QuickStats,2021
casey,median_rent_weekly,380,,AUD/week,ABS 2021 Census QuickStats,2021
casey,median_mortgage_monthly,1950,,AUD/month,ABS 2021 Census QuickStats,2021
casey,avg_household_size,2.7,,persons/household,ABS 2021 Census QuickStats,2021
chisholm,population,183655,,persons,ABS 2021 Census QuickStats,2021
chisholm,median_age,39,,years,ABS 2021 Census QuickStats,2021
chisholm,median_personal_income_weekly,734,,AUD/week,ABS 2021 Census QuickStats,2021
chisholm,median_household_income_weekly,1832,,AUD/week,ABS 2021 Census QuickStats,2021
chisholm,median_rent_weekly,440,,AUD/week,ABS 2021 Census QuickStats,2021
chisholm,median_mortgage_monthly,2400,,AUD/month,ABS 2021 Census QuickStats,2021
chisholm,avg_household_size,2.6,,persons/household,ABS 2021 Census QuickStats,2021
cooper,population,156279,,persons,ABS 2021 Census QuickStats,2021
cooper,median_age,37,,years,ABS 2021 Census QuickStats,2021
cooper,median_personal_income_weekly,888,,AUD/week,ABS 2021 Census QuickStats,2021
cooper,median_household_income_weekly,1845,,AUD/week,ABS 2021 Census QuickStats,2021
cooper,median_rent_weekly,381,,AUD/week,ABS 2021 Census QuickStats,2021
cooper,median_mortgage_monthly,2100,,AUD/month,ABS 2021 Census QuickStats,2021
cooper,avg_household_size,2.4,,persons/household,ABS 2021 Census QuickStats,2021
corangamite,population,152752,,persons,ABS 2021 Census QuickStats,2021
corangamite,median_age,40,,years,ABS 2021 Census QuickStats,2021
corangamite,median_personal_income_weekly,812,,AUD/week,ABS 2021 Census QuickStats,2021
corangamite,median_household_income_weekly,1804,,AUD/week,ABS 2021 Census QuickStats,2021
corangamite,median_rent_weekly,400,,AUD/week,ABS 2021 Census QuickStats,2021
corangamite,median_mortgage_monthly,1820,,AUD/month,ABS 2021 Census QuickStats,2021
corangamite,avg_household_size,2.6,,persons/household,ABS 2021 Census QuickStats,2021
corio,population,159242,,persons,ABS 2021 Census QuickStats,2021
corio,median_age,39,,years,ABS 2021 Census QuickStats,2021
corio,median_personal_income_weekly,763,,AUD/week,ABS 2021 Census QuickStats,2021
corio,median_household_income_weekly,1530,,AUD/week,ABS 2021 Census QuickStats,2021
corio,median_rent_weekly,320,,AUD/week,ABS 2021 Census QuickStats,2021
corio,median_mortgage_monthly,1700,,AUD/month,ABS 2021 Census QuickStats,2021
corio,avg_household_size,2.4,,persons/household,ABS 2021 Census QuickStats,2021
deakin,population,167110,,persons,ABS 2021 Census QuickStats,2021
deakin,median_age,40,,years,ABS 2021 Census QuickStats,2021
deakin,median_personal_income_weekly,832,,AUD/week,ABS 2021 Census QuickStats,2021
deakin,median_household_income_weekly,1878,,AUD/week,ABS 2021 Census QuickStats,2021
deakin,median_rent_weekly,392,,AUD/week,ABS 2021 Census QuickStats,2021
deakin,median_mortgage_monthly,2070,,AUD/month,ABS 2021 Census QuickStats,2021
deakin,avg_household_size,2.6,,persons/household,ABS 2021 Census QuickStats,2021
dunkley,population,158012,,persons,ABS 2021 Census QuickStats,2021
dunkley,median_age,40,,years,ABS 2021 Census QuickStats,2021
dunkley,median_personal_income_weekly,819,,AUD/week,ABS 2021 Census QuickStats,2021
dunkley,median_household_income_weekly,1718,,AUD/week,ABS 2021 Census QuickStats,2021
dunkley,median_rent_weekly,360,,AUD/week,ABS 2021 Census QuickStats,2021
dunkley,median_mortgage_monthly,1898,,AUD/month,ABS 2021 Census QuickStats,2021
dunkley,avg_household_size,2.5,,persons/household,ABS 2021 Census QuickStats,2021
flinders,population,150355,,persons,ABS 2021 Census QuickStats,2021
flinders,median_age,48,,years,ABS 2021 Census QuickStats,2021
flinders,median_personal_income_weekly,745,,AUD/week,ABS 2021 Census QuickStats,2021
flinders,median_household_income_weekly,1479,,AUD/week,ABS 2021 Census QuickStats,2021
flinders,median_rent_weekly,375,,AUD/week,ABS 2021 Census QuickStats,2021
flinders,median_mortgage_monthly,1949,,AUD/month,ABS 2021 Census QuickStats,2021
flinders,avg_household_size,2.3,,persons/household,ABS 2021 Census QuickStats,2021
fraser,population,176388,,persons,ABS 2021 Census QuickStats,2021
fraser,median_age,36,,years,ABS 2021 Census QuickStats,2021
fraser,median_personal_income_weekly,717,,AUD/week,ABS 2021 Census QuickStats,2021
fraser,median_household_income_weekly,1634,,AUD/week,ABS 2021 Census QuickStats,2021
fraser,median_rent_weekly,350,,AUD/week,ABS 2021 Census QuickStats,2021
fraser,median_mortgage_monthly,1850,,AUD/month,ABS 2021 Census QuickStats,2021
fraser,avg_household_size,2.6,,persons/household,ABS 2021 Census QuickStats,2021
gellibrand,population,189984,,persons,ABS 2021 Census QuickStats,2021
gellibrand,median_age,35,,years,ABS 2021 Census QuickStats,2021
gellibrand,median_personal_income_weekly,936,,AUD/week,ABS 2021 Census QuickStats,2021
gellibrand,median_household_income_weekly,2159,,AUD/week,ABS 2021 Census QuickStats,2021
gellibrand,median_rent_weekly,392,,AUD/week,ABS 2021 Census QuickStats,2021
gellibrand,median_mortgage_monthly,2100,,AUD/month,ABS 2021 Census QuickStats,2021
gellibrand,avg_household_size,2.8,,persons/household,ABS 2021 Census QuickStats,2021
gippsland,population,154357,,persons,ABS 2021 Census QuickStats,2021
gippsland,median_age,46,,years,ABS 2021 Census QuickStats,2021
gippsland,median_personal_income_weekly,644,,AUD/week,ABS 2021 Census QuickStats,2021
gippsland,median_household_income_weekly,1238,,AUD/week,ABS 2021 Census QuickStats,2021
gippsland,median_rent_weekly,250,,AUD/week,ABS 2021 Census QuickStats,2021
gippsland,median_mortgage_monthly,1300,,AUD/month,ABS 2021 Census QuickStats,2021
gippsland,avg_household_size,2.3,,persons/household,ABS 2021 Census QuickStats,2021
goldstein,population,154736,,persons,ABS 2021 Census QuickStats,2021
goldstein,median_age,43,,years,ABS 2021 Census QuickStats,2021
goldstein,median_personal_income_weekly,1068,,AUD/week,ABS 2021 Census QuickStats,2021
goldstein,median_household_income_weekly,2377,,AUD/week,ABS 2021 Census QuickStats,2021
goldstein,median_rent_weekly,490,,AUD/week,ABS 2021 Census QuickStats,2021
goldstein,median_mortgage_monthly,2800,,AUD/month,ABS 2021 Census QuickStats,2021
goldstein,avg_household_size,2.5,,persons/household,ABS 2021 Census QuickStats,2021
gorton,population,178100,,persons,ABS 2021 Census QuickStats,2021
gorton,median_age,35,,years,ABS 2021 Census QuickStats,2021
gorton,median_personal_income_weekly,742,,AUD/week,ABS 2021 Census QuickStats,2021
gorton,median_household_income_weekly,1927,,AUD/week,ABS 2021 Census QuickStats,2021
gorton,median_rent_weekly,380,,AUD/week,ABS 2021 Census QuickStats,2021
gorton,median_mortgage_monthly,1900,,AUD/month,ABS 2021 Census QuickStats,2021
gorton,avg_household_size,3.1,,persons/household,ABS 2021 Census QuickStats,2021
hawke,population,165389,,persons,ABS 2021 Census QuickStats,2021
hawke,median_age,35,,years,ABS 2021 Census QuickStats,2021
hawke,median_personal_income_weekly,777,,AUD/week,ABS 2021 Census QuickStats,2021
hawke,median_household_income_weekly,1738,,AUD/week,ABS 2021 Census QuickStats,2021
hawke,median_rent_weekly,341,,AUD/week,ABS 2021 Census QuickStats,2021
hawke,median_mortgage_monthly,1733,,AUD/month,ABS 2021 Census QuickStats,2021
hawke,avg_household_size,2.8,,persons/household,ABS 2021 Census QuickStats,2021
