division_id,electors,as_at_date,source_url
aston,122512,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
ballarat,116296,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
bendigo,120140,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
bruce,127671,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
calwell,115552,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
casey,122417,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
chisholm,122795,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
cooper,119958,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
corangamite,114177,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
corio,122829,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
deakin,126749,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
dunkley,124407,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
flinders,127620,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
fraser,124233,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
gellibrand,118992,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
gippsland,118115,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
goldstein,126189,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
gorton,129256,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
hawke,118830,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
holt,112992,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
hotham,119047,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
indi,120854,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
isaacs,120804,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
jagajaga,121332,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
kooyong,124516,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
latrobe,115448,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
lalor,114533,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
macnamara,114610,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
mallee,121662,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
maribyrnong,123287,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
mcewen,117940,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
melbourne,113403,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
menzies,121052,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
monash,116527,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
nicholls,121472,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
scullin,114965,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
wannon,121868,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
wills,125298,2025-05-03,https://www.aec.gov.au/enrolling_to_vote/enrolment_stats/national/files/enrolment-statistics-fe-2025.csv
